Index,Country,Adults,Median wealth,Mean wealth,Gini %,Continent
0,Afghanistan,19045000,1028,2139,68.9,Asia
1,Albania,2196000,17613,35529,68.6,Europe
2,Algeria,27980000,2552,10141,84.8,Africa
3,Angola,14856000,1162,3701,81.4,Africa
4,Argentina,31171000,3263,10446,80.9,South America
5,Armenia,2178000,8883,21802,73.1,Asia
6,Australia,19359000,273903,550110,66.2,Oceania
7,Austria,7297000,75075,250125,74.2,Europe
8,Azerbaijan,7222000,6732,15953,72.6,Asia
9,Bahamas,282000,7376,60263,89.5,North America
10,Bahrain,1349000,17640,98031,88.5,Asia
11,Bangladesh,108089000,3680,9490,75.4,Asia
12,Barbados,222000,24653,70807,80.5,North America
13,Belarus,7343000,13889,26221,67.2,Europe
14,Belgium,9026000,267887,381114,59.9,Europe
15,Belize,252000,3017,11295,83.5,North America
16,Benin,6025000,924,2976,80.0,Africa
17,Bolivia,7242000,3928,14098,80.8,South America
18,Bosnia and Herzegovina,2632000,15938,33122,69.2,Europe
19,Botswana,1393000,4357,19388,87.9,Africa
20,Brazil,155248000,3743,21429,89.2,South America
21,Brunei,314000,9619,57419,89.7,Asia
22,Bulgaria,5535000,21381,43631,70.2,Europe
23,Burkina Faso,9805000,521,1618,79.0,Africa
24,Burundi,5559000,360,809,70.3,Africa
25,Cambodia,10359000,2196,6270,78.3,Asia
26,Cameroon,13109000,989,3490,83.3,Africa
27,Canada,30203000,151248,409297,72.6,North America
28,Central African Republic,2226000,277,980,84.5,Africa
29,Chad,7314000,503,1372,77.6,Africa
30,Chile,14358000,18820,54639,79.4,South America
31,China,1110504000,28258,76639,70.1,Asia
32,Colombia,36094000,4866,17079,83.5,South America
33,Comoros,459000,1397,6062,86.1,Africa
34,Costa Rica,3746000,15957,45677,79.7,North America
35,Croatia,3287000,33240,68272,70.2,Europe
36,Cyprus,685000,37381,149824,79.1,Europe
37,Czech Republic,8520000,22958,82240,77.6,Europe
38,Denmark,4538000,171175,426494,73.9,Europe
39,Djibouti,632000,1169,3755,79.6,Africa
40,Dominica,50000,10885,35307,81.3,North America
41,Ecuador,11578000,5979,20539,80.1,South America
42,Egypt,60743000,7426,23134,79.3,Africa
43,El Salvador,4254000,10122,38523,81.2,North America
44,Equatorial Guinea,798000,6326,24769,86.4,Africa
45,Eritrea,1761000,1199,3113,76.3,Africa
46,Estonia,1040000,38935,77360,73.1,Europe
47,Ethiopia,59133000,1690,3861,72.3,Africa
48,Fiji,569000,6630,20518,78.5,Oceania
49,Finland,4387000,80152,186208,74.4,Europe
50,France,50171000,139169,322074,70.2,Europe
51,Gabon,1242000,6353,18647,79.7,Africa
52,Georgia,2946000,4774,15673,81.7,Asia
53,Georgia,2946000,4774,15673,81.7,Europe
54,Germany,68056000,60633,256985,78.8,Europe
55,Ghana,17054000,2962,7604,75.3,Africa
56,Greece,8440000,55016,108300,68.2,Europe
57,Guinea,6302000,1221,3935,81.6,Africa
58,Guinea-Bissau,976000,693,1896,78.0,Africa
